event_year,event_date,event_time,event_location,event_category,event_name
2018,1-27 ~ 1-28,1월 27일(토) 18시 / 1월 28일(일) 17시,잠실실내체육관,공연,블락비 콘서트
2018,2-14,19시,잠실실내체육관,공연,가온차트 뮤직 어워즈
2018,4-7,17시,잠실실내체육관,공연,하이라이트 콘서트
2018,5-18 ~ 5-20,"5월 18일(금) 20시, 19일(토) 18시, 20일(일) 17시",잠실실내체육관,공연,트와이스 콘서트
2018,5-4 ~ 5-6,"5월 4일(금) 20시, 5일(토) 18시, 6일(일) 17시",잠실실내체육관,공연,갓세븐 콘서트
2018,5-5 ~ 5-6,5월 5일(토) ~ 6일(일) 19시,잠실보조경기장,공연,TVXQ! CONCERT - CIRCLE - #welcome
2018,5-26 ~ 5-27,5월 26일(토) ~ 27일(일) 14시 ~ 23시,올림픽주경기장,공연,월드디제이 페스티벌
2018,5-19,16시,잠실보조경기장,공연,2018 삼성카드 홀가분 페스티벌
2018,5-12,19시 30분,올림픽주경기장,공연,조용필 50주년 콘서트
2018,6-29 ~ 7-1,"6월 29일(금) 20시, 30일(토) 18시, 7월 1일(일) 17시",잠실실내체육관,공연,세븐틴 콘서트
2018,6-22 ~ 6-23,6월 22일(금) ~ 23일(토) 19시 30분,올림픽주경기장,공연,롯데면세점 페스티벌
2018,6-8 ~ 6-10,6월 8일(금) 14시 / 9일(토) ~ 10일(일) 13시,잠실종합운동장,공연,울트라 뮤직 페스티벌 2018
2018,7-20 ~ 7-21,7월 20일(금) ~ 21(토) 13시 ~ 22시 30분,잠실종합운동장,공연,워터밤 2018
2018,7-13 ~ 10-7,"7월 13일(금) OPENING 저녁 7시 공연 / 공연시간 ---> 화, 수 20:00 / 목, 금 19:00, 22:00 / 토 18:00, 21:00 / 일, 공휴일 15:00, 18:00 (월 공연없음)",잠실종합운동장,공연,푸에르자 부르타
2018,7-30,20시 ~,잠실보조경기장,공연,캔드릭라마 내한공연
2018,7-7 ~ 7-8,13시 ~,잠실보조경기장,공연,프레젠트 스타디움 2018
2018,6-29 ~ 7-1,"6월 29일(금) 20시, 30일(토) 18시, 7월 1일(일) 17시",잠실실내체육관,공연,세븐틴 콘서트
2018,8-25 ~ 8-26,오후 6시 30분,올림픽주경기장,공연,2018방탄소년단 콘서트
2018,8-18,14시,잠실보조경기장,공연,2018 카스블루 플레이그라운드 페스티벌
2018,8-3 ~ 8-5,오후 6시 42분,잠실보조경기장,공연,2018 싸이 흠뻑쇼
2018,7-13 ~ 10-7,"7월 13일(금) OPENING 저녁 7시 공연 / 공연시간 ---> 화, 수 20:00 / 목, 금 19:00, 22:00 / 토 18:00, 21:00 / 일, 공휴일 15:00, 18:00 (월 공연없음)",잠실종합운동장,공연,푸에르자 부르타
2018,7-13 ~ 10-7,"7월 13일(금) OPENING 저녁 7시 공연 / 공연시간 ---> 화, 수 20:00 / 목, 금 19:00, 22:00 / 토 18:00, 21:00 / 일, 공휴일 15:00, 18:00 (월 공연없음)",잠실종합운동장,공연,푸에르자 부르타
2018,10-12,19시,잠실실내체육관,공연,IBK 참좋은 콘서트
2018,10-26,20시,잠실실내체육관,공연,도밍고 내한공연
2018,10-20 ~ 10-21,"20일(토) 18시, 21일(일) 17시",잠실실내체육관,공연,태연 콘서트
2018,10-13 ~ 10-14,"10월 13일(토) 19시, 14일(일) 18시",올림픽주경기장,공연,2018 Forever [High-five Of Teenagers] Concert
2018,7-13 ~ 10-7,"7월 13일(금) OPENING 저녁 7시 공연 / 공연시간 ---> 화, 수 20:00 / 목, 금 19:00, 22:00 / 토 18:00, 21:00 / 일, 공휴일 15:00, 18:00 (월 공연없음)",잠실종합운동장,공연,푸에르자 부르타
2018,11-8,오후 8시,잠실실내체육관,공연,찰리푸스 내한공연
2018,11-10,09시 ~,올림픽주경기장,이벤트,더 컬러런
2018,11-3 ~ 12-30,"화요일,수요일,목요일,금요일: 20:00 ㅣ 토요일: 15:30, 19:00 ㅣ 일요일: 14:30, 18:00",잠실종합운동장,공연,태양의 셔커스 쿠자
2018,12-29,19시,잠실실내체육관,공연,김건모 콘서트
2018,12-24 ~ 12-25,"24일(월) 20시, 25일(화) 18시",잠실실내체육관,공연,임창정 콘서트
2018,12-15 ~ 12-16,"12월 12일(토) 18시, 17일(일) 17시",잠실실내체육관,공연,뉴이스트W 콘서트
2018,11-3 ~ 12-30,"화요일,수요일,목요일,금요일: 20:00 ㅣ 토요일: 15:30, 19:00 ㅣ 일요일: 14:30, 18:00",잠실종합운동장,공연,태양의 셔커스 쿠자
