event_name,event_date,event_time,event_loc
KBO + LG + SK ,2020.05.12 (화),18:30 ,서울 잠실 야구장 
KBO + LG + SK ,2020.05.13 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2020.05.13 (수),18:30 ,서울고척스카이돔 
KBO + LG + SK ,2020.05.14 (목),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2020.05.14 (목),18:30 ,서울고척스카이돔 
KBO + LG + 키움히어로즈 ,2020.05.15 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2020.05.16 (토),14:00 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2020.05.16 (토),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 경남 FC ,2020.05.17 (일),16:00 ,잠실올림픽주경기장 
KBO + LG + 키움히어로즈 ,2020.05.17 (일),14:00 ,서울 잠실 야구장 
Kleague + FC 서울 + 광주 FC ,2020.05.17 (일),19:00 ,서울월드컵경기장 
KBO + 두산 + NC ,2020.05.19 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + SK ,2020.05.19 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + NC ,2020.05.20 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + SK ,2020.05.20 (수),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + SK ,2020.05.21 (목),18:30 ,서울고척스카이돔 
KBO + 두산 + NC ,2020.05.21 (목),18:30 ,서울 잠실 야구장 
KBO + LG + KT ,2020.05.22 (금),18:30 ,서울 잠실 야구장 
KBO + LG + KT ,2020.05.23 (토),14:00 ,서울 잠실 야구장 
KBO + LG + KT ,2020.05.24 (일),14:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 전남 드래곤즈 ,2020.05.24 (일),18:30 ,잠실올림픽주경기장 
KBO + 두산 + SK ,2020.05.26 (화),18:30 ,서울 잠실 야구장 
KBO + 두산 + SK ,2020.05.27 (수),18:30 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + FC 안양 ,2020.05.27 (수),18:30 ,잠실올림픽주경기장 
KBO + 두산 + SK ,2020.05.28 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + 롯데 ,2020.05.29 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2020.05.29 (금),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + KT ,2020.05.30 (토),17:00 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2020.05.30 (토),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2020.05.31 (일),14:00 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2020.05.31 (일),14:00 ,서울 잠실 야구장 
Kleague + FC 서울 + 성남 FC ,2020.05.31 (일),16:30 ,서울월드컵경기장 
KBO + LG + 삼성 ,2020.06.02 (화),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2020.06.03 (수),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2020.06.04 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + KIA ,2020.06.05 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + LG ,2020.06.05 (금),18:30 ,서울고척스카이돔 
Kleague + FC 서울 + 전북 현대 ,2020.06.06 (토),16:30 ,서울월드컵경기장 
KBO + 키움히어로즈 + LG ,2020.06.06 (토),17:00 ,서울고척스카이돔 
KBO + 두산 + KIA ,2020.06.06 (토),14:00 ,서울 잠실 야구장 
KBO + 두산 + KIA ,2020.06.07 (일),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + LG ,2020.06.07 (일),17:00 ,서울고척스카이돔 
KBO + LG + SK ,2020.06.09 (화),18:30 ,서울 잠실 야구장 
KBO + LG + SK ,2020.06.10 (수),18:30 ,서울 잠실 야구장 
KBO + LG + SK ,2020.06.11 (목),18:30 ,서울 잠실 야구장 
KBO + LG + SK ,2020.06.11 (목),15:00 ,서울 잠실 야구장 
KBO + LG + 롯데 ,2020.06.12 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 롯데 ,2020.06.13 (토),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 대전 하나 시티즌 ,2020.06.13 (토),18:30 ,잠실올림픽주경기장 
KBO + LG + 롯데 ,2020.06.14 (일),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 롯데 ,2020.06.16 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + 삼성 ,2020.06.16 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 롯데 ,2020.06.17 (수),18:30 ,서울고척스카이돔 
KBO + 두산 + 삼성 ,2020.06.17 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 롯데 ,2020.06.18 (목),18:30 ,서울고척스카이돔 
KBO + 두산 + 삼성 ,2020.06.18 (목),18:30 ,서울 잠실 야구장 
KBO + LG + 두산 ,2020.06.19 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + SK ,2020.06.19 (금),18:30 ,서울고척스카이돔 
Kleague + FC 서울 + 울산 현대 ,2020.06.20 (토),19:00 ,서울월드컵경기장 
KBO + 키움히어로즈 + SK ,2020.06.20 (토),17:00 ,서울고척스카이돔 
KBO + LG + 두산 ,2020.06.20 (토),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + SK ,2020.06.21 (일),17:00 ,서울고척스카이돔 
KBO + LG + 두산 ,2020.06.21 (일),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 안산 그리너스 ,2020.06.22 (월),19:30 ,잠실올림픽주경기장 
KBO + LG + 키움히어로즈 ,2020.06.23 (화),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2020.06.24 (수),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2020.06.25 (목),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2020.06.25 (목),15:00 ,서울 잠실 야구장 
KBO + 두산 + NC ,2020.06.26 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KIA ,2020.06.26 (금),18:30 ,서울고척스카이돔 
Kleague + FC 서울 + 인천 Utd ,2020.06.27 (토),19:00 ,서울월드컵경기장 
KBO + 두산 + NC ,2020.06.27 (토),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KIA ,2020.06.27 (토),17:00 ,서울고척스카이돔 
KBO + 키움히어로즈 + KIA ,2020.06.28 (일),17:00 ,서울고척스카이돔 
KBO + 두산 + NC ,2020.06.28 (일),17:00 ,서울 잠실 야구장 
KBO + LG + KT ,2020.06.30 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 두산 ,2020.06.30 (화),18:30 ,서울고척스카이돔 
KBO + LG + KT ,2020.07.01 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 두산 ,2020.07.01 (수),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + 두산 ,2020.07.02 (목),18:30 ,서울고척스카이돔 
KBO + LG + KT ,2020.07.02 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + 한화 ,2020.07.03 (금),18:30 ,서울 잠실 야구장 
KBO + 두산 + 한화 ,2020.07.04 (토),18:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 수원 FC ,2020.07.04 (토),19:00 ,잠실올림픽주경기장 
KBO + 두산 + 한화 ,2020.07.05 (일),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2020.07.07 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + LG ,2020.07.07 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2020.07.08 (수),18:30 ,서울고척스카이돔 
KBO + 두산 + LG ,2020.07.08 (수),18:30 ,서울 잠실 야구장 
KBO + 두산 + LG ,2020.07.09 (목),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2020.07.09 (목),18:30 ,서울고척스카이돔 
KBO + LG + NC ,2020.07.10 (금),18:30 ,서울 잠실 야구장 
KBO + LG + NC ,2020.07.11 (토),18:00 ,서울 잠실 야구장 
KBO + LG + NC ,2020.07.12 (일),17:00 ,서울 잠실 야구장 
KBO + LG + NC ,2020.07.13 (월),18:30 ,서울 잠실 야구장 
KBO + 두산 + SK ,2020.07.14 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + NC ,2020.07.14 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + SK ,2020.07.15 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + NC ,2020.07.15 (수),18:30 ,서울고척스카이돔 
KBO + 두산 + SK ,2020.07.16 (목),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + NC ,2020.07.16 (목),18:30 ,서울고척스카이돔 
KBO + LG + 한화 ,2020.07.17 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 한화 ,2020.07.18 (토),18:00 ,서울 잠실 야구장 
Kleague + FC 서울 + 포항 스틸러스 ,2020.07.18 (토),20:00 ,서울월드컵경기장 
Kleague + 서울 이랜드 + 제주 Utd ,2020.07.18 (토),19:00 ,잠실올림픽주경기장 
KBO + LG + 한화 ,2020.07.19 (일),17:00 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.21 (화),18:30 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.22 (수),18:30 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.23 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + LG ,2020.07.24 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 롯데 ,2020.07.24 (금),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + 롯데 ,2020.07.25 (토),18:00 ,서울고척스카이돔 
Kleague + 서울 이랜드 + 충남 아산 FC ,2020.07.25 (토),19:00 ,잠실올림픽주경기장 
KBO + 두산 + LG ,2020.07.25 (토),18:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 롯데 ,2020.07.26 (일),17:00 ,서울고척스카이돔 
KBO + 두산 + LG ,2020.07.26 (일),17:00 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.28 (화),18:30 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.29 (수),18:30 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2020.07.30 (목),18:30 ,서울 잠실 야구장 
KBO + LG + 한화 ,2020.07.31 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 한화 ,2020.08.01 (토),18:00 ,서울 잠실 야구장 
KBO + LG + 한화 ,2020.08.02 (일),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 부천FC ,2020.08.02 (일),19:00 ,잠실올림픽주경기장 
KBO + LG + 한화 ,2020.08.03 (월),18:30 ,서울 잠실 야구장 
KBO + 두산 + 삼성 ,2020.08.04 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2020.08.04 (화),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + KT ,2020.08.05 (수),18:30 ,서울고척스카이돔 
KBO + 두산 + 삼성 ,2020.08.05 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2020.08.06 (목),18:30 ,서울고척스카이돔 
KBO + 두산 + 삼성 ,2020.08.06 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + 롯데 ,2020.08.07 (금),18:30 ,서울 잠실 야구장 
Kleague + FC 서울 + 강원 FC ,2020.08.07 (금),20:00 ,서울월드컵경기장 
KBO + 키움히어로즈 + LG ,2020.08.07 (금),18:30 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2020.08.08 (토),18:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + LG ,2020.08.08 (토),18:00 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2020.08.09 (일),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + LG ,2020.08.09 (일),17:00 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2020.08.10 (월),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 한화 ,2020.08.11 (화),18:30 ,서울고척스카이돔 
KBO + LG + KIA ,2020.08.11 (화),18:30 ,서울 잠실 야구장 
KBO + LG + KIA ,2020.08.12 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 한화 ,2020.08.12 (수),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + 한화 ,2020.08.13 (목),18:30 ,서울고척스카이돔 
KBO + LG + KIA ,2020.08.13 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + KT ,2020.08.14 (금),18:30 ,서울 잠실 야구장 
KBO + 두산 + KT ,2020.08.15 (토),17:00 ,서울 잠실 야구장 
Kleague + FC 서울 + 상주 상무 ,2020.08.15 (토),19:00 ,서울월드컵경기장 
