event_name,event_date,event_time,event_loc
KBO + LG + SSG ,2021.10.06 (수),18:30 ,서울 잠실 야구장 
KBO + LG + SSG ,2021.10.06 (수),15:00 ,서울 잠실 야구장 
KBO + 두산 + 롯데 ,2021.10.07 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + 롯데 ,2021.10.08 (금),18:30 ,서울 잠실 야구장 
KBO + LG + KT ,2021.10.09 (토),17:00 ,서울 잠실 야구장 
KBO + LG + KT ,2021.10.10 (일),14:00 ,서울 잠실 야구장 
KBL + 서울삼성 + 창원LG ,2021.10.10 (일),16:00 ,잠실실내체육관 
KBL + 서울SK + 서울삼성 ,2021.10.11 (월),18:00 ,잠실학생체육관 
KBO + LG + KT ,2021.10.11 (월),14:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + NC ,2021.10.12 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + KT ,2021.10.12 (화),18:30 ,서울 잠실 야구장 
KBO + 두산 + KT ,2021.10.13 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + NC ,2021.10.13 (수),18:30 ,서울고척스카이돔 
KBL + 서울삼성 + 전주KCC ,2021.10.13 (수),19:00 ,잠실실내체육관 
KBO + 키움히어로즈 + NC ,2021.10.14 (목),18:30 ,서울고척스카이돔 
KBO + 두산 + KT ,2021.10.14 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + NC ,2021.10.15 (금),18:30 ,서울 잠실 야구장 
KBL + 서울삼성 + 수원KT ,2021.10.16 (토),18:00 ,잠실실내체육관 
KOVO + GS칼텍스 + 흥국생명 ,2021.10.16 (토),16:00 ,서울장충체육관 
KBO + 두산 + KIA ,2021.10.16 (토),17:00 ,서울 잠실 야구장 
KBL + 서울SK + 울산현대모비스 ,2021.10.17 (일),16:00 ,잠실학생체육관 
KBO + 두산 + KIA ,2021.10.17 (일),14:00 ,서울 잠실 야구장 
KBO + 두산 + KIA ,2021.10.17 (일),17:00 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2021.10.19 (화),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2021.10.20 (수),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2021.10.21 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + LG ,2021.10.23 (토),17:00 ,서울 잠실 야구장 
KBO + 두산 + LG ,2021.10.24 (일),17:00 ,서울 잠실 야구장 
KBL + 서울SK + 원주DB ,2021.10.24 (일),18:00 ,잠실학생체육관 
KBO + 두산 + LG ,2021.10.24 (일),14:00 ,서울 잠실 야구장 
KOVO + 우리카드 + 현대캐피탈 ,2021.10.24 (일),14:00 ,서울장충체육관 
KBO + LG + 롯데 ,2021.10.25 (월),18:30 ,서울 잠실 야구장 
KBO + 두산 + 키움히어로즈 ,2021.10.26 (화),18:30 ,서울 잠실 야구장 
KBL + 서울삼성 + 안양KGC ,2021.10.26 (화),19:00 ,잠실실내체육관 
KOVO + GS칼텍스 + 현대건설 ,2021.10.27 (수),19:00 ,서울장충체육관 
KBO + 키움히어로즈 + 삼성 ,2021.10.27 (수),18:30 ,서울고척스카이돔 
KOVO + 우리카드 + 한국전력 ,2021.10.28 (목),19:00 ,서울장충체육관 
KBO + 키움히어로즈 + KT ,2021.10.29 (금),18:30 ,서울고척스카이돔 
KBL + 서울SK + 한국가스공사 ,2021.10.29 (금),19:00 ,잠실학생체육관 
KOVO + GS칼텍스 + IBK기업은행 ,2021.10.30 (토),16:00 ,서울장충체육관 
KBL + 서울삼성 + 고양오리온 ,2021.10.30 (토),14:00 ,잠실실내체육관 
KBL + 서울SK + 수원KT ,2021.11.05 (금),19:00 ,잠실학생체육관 
Kleague + FC 서울 + 성남 FC ,2021.11.07 (일),19:00 ,잠실올림픽주경기장 
KBL + 서울SK + 안양KGC ,2021.11.07 (일),15:00 ,잠실학생체육관 
KOVO + GS칼텍스 + 현대건설 ,2021.11.10 (수),19:00 ,서울장충체육관 
KBL + 서울삼성 + 서울SK ,2021.11.11 (목),19:00 ,잠실실내체육관 
KBL + 서울삼성 + 전주KCC ,2021.11.14 (일),15:00 ,잠실실내체육관 
KOVO + 우리카드 + 대한항공 ,2021.11.14 (일),14:00 ,서울장충체육관 
KBL + 서울SK + 고양오리온 ,2021.11.15 (월),19:00 ,잠실학생체육관 
KOVO + GS칼텍스 + 페퍼저축은행 ,2021.11.19 (금),19:00 ,서울장충체육관 
KBL + 서울삼성 + 수원KT ,2021.11.21 (일),15:00 ,잠실실내체육관 
KOVO + 우리카드 + OK금융그룹 ,2021.11.23 (화),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + 한국도로공사 ,2021.11.24 (수),19:00 ,서울장충체육관 
KBL + 서울SK + 전주KCC ,2021.11.28 (일),15:00 ,잠실학생체육관 
Kleague + FC 서울 + 강원 FC ,2021.11.28 (일),16:30 ,잠실올림픽주경기장 
KOVO + GS칼텍스 + KGC인삼공사 ,2021.11.30 (화),19:00 ,서울장충체육관 
KOVO + 우리카드 + 삼성화재 ,2021.12.01 (수),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + 흥국생명 ,2021.12.04 (토),16:00 ,서울장충체육관 
KBL + 서울삼성 + 고양오리온 ,2021.12.04 (토),15:00 ,잠실실내체육관 
KBL + 서울삼성 + 창원LG ,2021.12.05 (일),15:00 ,잠실실내체육관 
KBL + 서울삼성 + 원주DB ,2021.12.07 (화),19:00 ,잠실실내체육관 
KOVO + 우리카드 + KB손해보험 ,2021.12.10 (금),19:00 ,서울장충체육관 
KBL + 서울SK + 울산현대모비스 ,2021.12.12 (일),15:00 ,잠실학생체육관 
KOVO + 우리카드 + 현대캐피탈 ,2021.12.14 (화),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + IBK기업은행 ,2021.12.15 (수),19:00 ,서울장충체육관 
KBL + 서울SK + 안양KGC ,2021.12.16 (목),19:00 ,잠실학생체육관 
KBL + 서울SK + 창원LG ,2021.12.18 (토),15:00 ,잠실학생체육관 
KBL + 서울SK + 전주KCC ,2021.12.19 (일),15:00 ,잠실학생체육관 
KOVO + 우리카드 + 한국전력 ,2021.12.21 (화),19:00 ,서울장충체육관 
KBL + 서울SK + 서울삼성 ,2021.12.25 (토),15:00 ,잠실학생체육관 
KOVO + 우리카드 + 삼성화재 ,2021.12.29 (수),19:00 ,서울장충체육관 
KOVO + 우리카드 + 대한항공 ,2022.01.02 (일),14:00 ,서울장충체육관 
KBL + 서울삼성 + 안양KGC ,2022.01.03 (월),19:00 ,잠실실내체육관 
KBL + 서울삼성 + 한국가스공사 ,2022.01.07 (금),19:00 ,잠실실내체육관 
KBL + 서울SK + 고양오리온 ,2022.01.08 (토),15:00 ,잠실학생체육관 
KBL + 서울삼성 + 원주DB ,2022.01.09 (일),15:00 ,잠실실내체육관 
KOVO + GS칼텍스 + 페퍼저축은행 ,2022.01.09 (일),16:00 ,서울장충체육관 
KBL + 서울SK + 창원LG ,2022.01.11 (화),19:00 ,잠실학생체육관 
KBL + 서울삼성 + 울산현대모비스 ,2022.01.12 (수),19:00 ,잠실실내체육관 
KOVO + 우리카드 + KB손해보험 ,2022.01.12 (수),19:00 ,서울장충체육관 
KOVO + 우리카드 + OK금융그룹 ,2022.01.15 (토),14:00 ,서울장충체육관 
