event_name,event_date,event_time,event_loc
KBO + LG + 키움히어로즈 ,2022.05.25 (수),18:30 ,서울 잠실 야구장 
KBO + LG + 키움히어로즈 ,2022.05.26 (목),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2022.05.27 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2022.05.28 (토),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 대전 하나 시티즌 ,2022.05.28 (토),18:30 ,목동종합운동장 주경기장 
Kleague + FC 서울 + 김천상무 ,2022.05.28 (토),16:30 ,서울월드컵경기장 
KBO + LG + 삼성 ,2022.05.29 (일),14:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2022.05.31 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + KIA ,2022.05.31 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2022.06.01 (수),17:00 ,서울고척스카이돔 
KBO + 두산 + KIA ,2022.06.01 (수),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 삼성 ,2022.06.02 (목),18:30 ,서울고척스카이돔 
KBO + 두산 + KIA ,2022.06.02 (목),18:30 ,서울 잠실 야구장 
KBO + LG +  SSG ,2022.06.03 (금),18:30 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 부천FC ,2022.06.04 (토),20:00 ,목동종합운동장 주경기장 
KBO + LG +  SSG ,2022.06.04 (토),17:00 ,서울 잠실 야구장 
KBO + LG +  SSG ,2022.06.05 (일),17:00 ,서울 잠실 야구장 
KBO + 두산 + 한화 ,2022.06.07 (화),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2022.06.07 (화),18:30 ,서울고척스카이돔 
KBO + 두산 + 한화 ,2022.06.08 (수),18:30 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 전남 드래곤즈 ,2022.06.08 (수),19:00 ,목동종합운동장 주경기장 
KBO + 키움히어로즈 + KT ,2022.06.08 (수),18:30 ,서울고척스카이돔 
KBO + 두산 + 한화 ,2022.06.09 (목),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + KT ,2022.06.09 (목),18:30 ,서울고척스카이돔 
KBO + LG + 두산 ,2022.06.10 (금),18:30 ,서울 잠실 야구장 
KBO + LG + 두산 ,2022.06.11 (토),17:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 부산 아이파크 ,2022.06.12 (일),18:00 ,목동종합운동장 주경기장 
KBO + LG + 두산 ,2022.06.12 (일),17:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 두산 ,2022.06.14 (화),18:30 ,서울고척스카이돔 
KBO + LG + 삼성 ,2022.06.14 (화),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2022.06.15 (수),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 두산 ,2022.06.15 (수),18:30 ,서울고척스카이돔 
KBO + LG + 삼성 ,2022.06.16 (목),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 두산 ,2022.06.16 (목),18:30 ,서울고척스카이돔 
KBO + 키움히어로즈 + LG ,2022.06.17 (금),18:30 ,서울고척스카이돔 
