event_year,event_date,event_time,event_location,event_category,event_name
2022,3-25 ~ 3-27,"3월 25일(금)~26일(토) 18시, 27일(일) 17시",잠실보조경기장,공연,세븐틴 콘서트
2022,3-10 ~ 3-13,"3월 10일 19시, 3월11일~12일 18시",올림픽주경기장,공연,BTS콘서트
2022,4-29 ~ 5-1,4월 29일(금) 20시 / 4월 30일(토) 18시 / 5월 1일(일) 17시,잠실실내체육관,공연,2022 스트레이키즈 콘서트
2022,4-22 ~ 4-24,22일 20시 / 23일 18시 / 24일 17시,잠실실내체육관,공연,김성규 콘서트
2022,4-9,19시,잠실실내체육관,공연,EXO 팬미팅
2022,4-2 ~ 4-3,"2022년 4월 2일(토) 14시,19시 / 4월3일(일) 13시,18시",잠실실내체육관,공연,국민가수 콘서트
2022,5-28 ~ 5-29,5/28(토)~5/29(일) 각 7PM,잠실보조경기장,공연,2022 성시경의 축가 콘서트
2022,5-28 ~ 5-29,1회차 : 2022년 05월 28일(토) PM 06시 (KST) / 온라인 스트리밍 동시 진행 2회차 : 2022년 05월 29일(일) PM 05시 (KST) / 온라인 스트리밍 동시 진행,잠실실내체육관,공연,2022 아스트로 콘서트
2022,5-20 ~ 5-22,5/20(금) 8PM｜5/21(토) 5PM｜5/22(일) 5PM (KST),잠실실내체육관,공연,2022 하이라이트 콘서트
2022,5-6 ~ 5-8,"5월6일(금) 13시, 19시 / 5월 8일(일) 13시, 19시",잠실실내체육관,공연,2022 장민호 & 이찬원 콘서트
2022,4-29 ~ 5-1,4월 29일(금) 20시 / 4월 30일(토) 18시 / 5월 1일(일) 17시,잠실실내체육관,공연,2022 스트레이키즈 콘서트
2022,6-24 ~ 6-26,12시 ~ 22시,올림픽주경기장,공연,워터밤
2022,6-18 ~ 6-19,18시,올림픽주경기장,공연,2022 드림 콘서트
2022,7-15 ~ 7-17,2022년 7월 15일(금) 오후 7시 2022년 7월 16일(토) 오후 6시 2022년 7월 17일(일) 오후 4시,잠실실내체육관,공연,슈퍼주니어 콘서트 2022
2022,7-15 ~ 7-17,6시 42분,올림픽주경기장,공연,싸이 흠뻑쇼 2022
2022,7-2 ~ 7-3,2022년 7월 2일(토) 6PM(KST) 2022년 7월 3일(일) 5PM(KST),잠실실내체육관,공연,투모로우 바이투게더 콘서트
2022,7-2 ~ 7-3,13시 ~ 22시,잠실보조경기장,공연,슈퍼노바 콘서트 2022
2022,8-11 ~ 8-13,8월 11일(목) ~ 12일(금) 14시~ / 13일(토) 15시 ~,잠실보조경기장,공연,2022 World DJ Festival
2022,8-13 ~ 8-14,8월 13일(토)~14일(일) 11시 40분 ~ 20시,잠실종합운동장,이벤트,2022 서울 E-프리(SEOUL E-PRIX)
