,codename,guname,title,date,place,org_name,use_trgt,use_fee,player,program,etc_desc,org_link,main_img,rgstdate,ticket,strtdate,end_date,themecode
2257,문화교양/강좌,광진구,생생LIVE 올록볼록 별이 빛나는 밤,2021-10-05~2021-10-22,서울상상나라 줌(zoom) 수업,,6~7세(2015년 ~ 2016년생) 아동과 보호자 1인,"12,000원",,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e77e1a36be854a6b84770a9fe16c6304&thumb=Y,2021-08-11,기관,2021-10-05 00:00:00.0,2021-10-22 00:00:00.0,어린이/청소년 문화행사
2258,축제-기타,마포구,제6회 마포 M 클래식 축제 '마포사계 ' <겨울>,2021-10-05~2021-10-05,마포구 전역,,전체관람가능,온라인중계(무료관람) ,피아니스트 양성원,아름다운 밤섬이 영원하기를 바라며 밤섬의 따뜻한 겨울에 기록,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=151c90310fff4d18b3e22c29500051a7&thumb=Y,2021-09-06,기관,2021-10-05 00:00:00.0,2021-10-05 00:00:00.0,기타
2259,기타,중구,2021 서울국제디자인포럼,2021-10-05~2021-10-05,온라인,,"디자인 분야 전문가, 기업, 관련 전공 학생 및 일반시민",무료,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a27434f256a46b280270e8912405fe1&thumb=Y,2021-09-14,기관,2021-10-05 00:00:00.0,2021-10-05 00:00:00.0,기타
2260,전시/미술,노원구,어린이 전시《먼길 이야기》,2021-10-05~2021-06-19,서울시립 북서울미술관 어린이갤러리 ,,전체 관람 ,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a550b806ea774b04936fc85c6c9cedeb&thumb=Y,2021-09-27,기관,2021-10-05 00:00:00.0,2021-06-19 00:00:00.0,문화가 있는 날
2261,전시/미술,도봉구,창동레게페스타 특별전 - 시치 개인전 [시공간],2021-10-03~2021-10-09,플랫폼창동61 갤러리510,,전체관람가,,시치,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a95955c4568f46d0b5073b90163938e1&thumb=Y,2021-09-09,기관,2021-10-03 00:00:00.0,2021-10-09 00:00:00.0,기타
2262,콘서트,도봉구,창동레게페스타 [Inna De Yard 창동],2021-10-03~2021-10-03,플랫폼창동61 레드박스,,만 8세 이상,"전석 20,000원",,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0294861369e6415cadb96831456ae6c5&thumb=Y,2021-09-09,기관,2021-10-03 00:00:00.0,2021-10-03 00:00:00.0,기타
2263,문화교양/강좌,노원구,[서울생활사박물관] 가족 생활사 공작소,2021-10-02~2021-12-04,"서울생활사박물관 교육실1, 2 / 생활사전시실 1~3층",,초등학생 동반 가족,,,,,https://museum.seoul.go.kr/sulm/board/NR_boardList.do?bbsCd=1005,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3ddf3e9fc104f8d81bf2dbdabbf9d2c&thumb=Y,2021-09-08,기관,2021-10-02 00:00:00.0,2021-12-04 00:00:00.0,어린이/청소년 문화행사
2264,문화교양/강좌,서초구, 양손프로젝트 10주년 기념 공연 <단편선-레퍼토리展>  공연 연계 비평 워크숍,2021-10-02~2021-10-30,예술의전당 오페라하우스 4층 컨퍼런스홀,,공연 관람과 글쓰기를 좋아하는 일반 성인 관객,"60,000원",,,,https://www.sac.or.kr/site/main/board/academy/274717,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=06a92f364c584efd99c6223affb621ef&thumb=Y,2021-09-07,기관,2021-10-02 00:00:00.0,2021-10-30 00:00:00.0,
2265,문화교양/강좌,송파구,"<꿈나무오감체험교실>  ""숲속 친구, 참이와 토리""  (온라인)",2021-10-02~2021-10-16,개별 공지(네이버 밴드),,초등학교 1~2학년 학급 단체,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=57937b49dd424ecd9b5ee4d789f49671&thumb=Y,2021-09-09,기관,2021-10-02 00:00:00.0,2021-10-16 00:00:00.0,어린이/청소년 문화행사
2266,전시/미술,강북구,"2021삼각산아트랩 선정작가전 '오르지 않아도'_주기범,이상현 ",2021-10-02~2021-10-13,2동 삼각산시민청갤러리,,시민 누구나,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3bb5823d86c442f4ac5c7606eabff7d6&thumb=Y,2021-10-02,기관,2021-10-02 00:00:00.0,2021-10-13 00:00:00.0,기타
2267,기타,중구,오걸작-오선지 걸어가는 작곡가,2021-10-02~2021-10-10,국립정동극장 ,국립정동극장 ,8세이상 관람가,5만원,,,,https://www.jeongdong.or.kr/portal/bbs/B0000252/view.do?nttId=5566&menuNo=200002,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6fc750e563644f27b9683af891566d4c&thumb=Y,2021-08-27,시민,2021-10-02 00:00:00.0,2021-10-10 00:00:00.0,
2268,기타,도봉구,리놀륨 판화 워크숍- 2021 평화문화진지 입주작가 연계프로그램,2021-10-02~2021-10-06,평화문화진지 공유공방1,도봉문화재단,성인,"5,000 원",,,,http://www.dbfac.or.kr/front/supportManageReq/supportManageView.do?miv_pageNo=&miv_pageSize=6&total_cnt=&LISTOP=&mode=V&seq=609&searchkey=NAME&search_gb=&gubun=04&search_gb2=&gubun2=&searchType=title&searchtxt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ef8a7a3dd9684e3a833da4bb7731e188&thumb=Y,2021-09-30,기관,2021-10-02 00:00:00.0,2021-10-06 00:00:00.0,
2269,클래식,광진구,클래시칸 앙상블의 <꿀벌 마야의 모험>,2021-10-02~2021-10-03,나루아트센터 소공연장,,일반시민,전석 2만원(광진구민 40% 할인),클래시칸 앙상블,'2021 공연장 상주단체 육성지원사업 선정작' 어린이의 눈과 귀로 객석의 즐거움을 맘껏 느끼는 동화 음악극! ,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d3bb9140dcb3402d96585e4891527cb0&thumb=Y,2021-09-08,기관,2021-10-02 00:00:00.0,2021-10-03 00:00:00.0,
2270,축제-전통/역사,중구,"2021 훈련도감 무예 재현행사 <한양도성, 전통무예와 만나다>",2021-10-02~2021-10-03,서울시 공식 유튜브 채널(seoullive)로 실시간 송출,,전 연령,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0fa054173eef45a79959721bc44afc68&thumb=Y,2021-09-13,기관,2021-10-02 00:00:00.0,2021-10-03 00:00:00.0,
2271,클래식,종로구,2021 서울시향 실내악 시리즈 IV,2021-10-02~2021-10-02,세종체임버홀,세종문화회관,초등학생 이상 관람 가능 ,"R석 50,000원 S석 30,000원 A석 10,000원 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32244&menuNo=200004&sdate=2021-09-27&searchPlaceCdStr=&edate=2021-10-27&searchGenreCdStr=&pageIndex=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7bf120c99b144f709530ea96ac88eb44&thumb=Y,2021-09-27,기관,2021-10-02 00:00:00.0,2021-10-02 00:00:00.0,
2272,클래식,송파구,실내악 시리즈 IV: 현악 사중주와 기타의 만남,2021-10-02~2021-10-02,세종체임버홀,,만 7세 이상,"R 50,000 S 30,000 A 10,000",,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=477f07ea92284400b7d214197c520480&thumb=Y,2021-08-26,기관,2021-10-02 00:00:00.0,2021-10-02 00:00:00.0,기타
2273,독주/독창회,종로구,이야기가 있는 소프라노 강진희 독창회,2021-10-02~2021-10-02,꿈의숲 콘서트홀,세종문화회관,만 5세 이상 ,"전석 30,000원 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32383&menuNo=200004&sdate=2021-09-27&searchPlaceCdStr=&edate=2021-10-27&searchGenreCdStr=&pageIndex=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=37c700dfbccb4f97aba4b33a2794c3a7&thumb=Y,2021-09-27,기관,2021-10-02 00:00:00.0,2021-10-02 00:00:00.0,
2274,기타,마포구,"[서강도서관] 어린이갤러리 '세계 속, 도시 쏙!'",2021-10-01~2021-12-31,서강도서관 4층 어린이자료실,,누구나,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=477915a88f9a4203aee2482e34753dc5&thumb=Y,2021-10-01,기관,2021-10-01 00:00:00.0,2021-12-31 00:00:00.0,
2275,기타,마포구,[서강도서관] 10월/팟캐스트 서강도서관 피셜 15회 '5번 레인',2021-10-01~2021-12-31,온라인(팟빵),,누구나,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=882958f69e80404c97083f64b57265d3&thumb=Y,2021-10-01,기관,2021-10-01 00:00:00.0,2021-12-31 00:00:00.0,
2276,문화교양/강좌,관악구,2021 싱글벙글교육센터 4분기(23기) 평생학습교육프로그램 수강생 모집,2021-10-01~2021-12-31,싱글벙글교육센터,,누구나,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=abef5c357d2449c0a9e2211d7de8c36c&thumb=Y,2021-09-07,기관,2021-10-01 00:00:00.0,2021-12-31 00:00:00.0,기타
2277,전시/미술,종로구,"2021 가을, 박물관미술관에 빠져든다 Fall, falling in Museum",2021-10-01~2021-12-31,서울시 박물관 미술관 40여개소,,서울시민,기관별 상이,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8ddea39c208b4413854ac88ee1744fdd&thumb=Y,2021-11-11,기관,2021-10-01 00:00:00.0,2021-12-31 00:00:00.0,기타
2278,기타,마포구,[서강도서관]10월/행사 10월 프로그램 안내,2021-10-01~2021-12-30,일정표 확인,,누구나,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c2f263e0f1b144369eed16c70bd50e74&thumb=Y,2021-10-01,기관,2021-10-01 00:00:00.0,2021-12-30 00:00:00.0,
2279,문화교양/강좌,노원구,[서울생활사박물관] 청소년 도슨트가 들려주는 전시이야기,2021-10-01~2021-12-05,온라인 교육,,시민 모두,,,,,https://museum.seoul.go.kr/sulm/board/NR_boardList.do?bbsCd=1005,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0d27881cb45d47e4be9cf196a7442960&thumb=Y,2021-09-08,기관,2021-10-01 00:00:00.0,2021-12-05 00:00:00.0,어린이/청소년 문화행사
2280,전시/미술,성북구,"2021년을 보내는 작별의 ‘안녕‘과  다가오는  일상에 활력을 선사하는 전시 <같이, 우리: 안녕>",2021-10-01~2021-11-30,성북~강북구 중앙차로 버스쉘터,,시민 누구나,무료,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=706add2d5a5b4d93a852c9c693687d19&thumb=Y,2021-09-07,기관,2021-10-01 00:00:00.0,2021-11-30 00:00:00.0,기타
2281,콘서트,중구,[살롱1890] <재.재.재 : 다시. 또. 한번>,2021-10-01~2021-11-13,서울남산국악당,,8세이상,무료,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=acbd30a2053545b8a3436972d3c0e7d7&thumb=Y,2021-09-14,기관,2021-10-01 00:00:00.0,2021-11-13 00:00:00.0,기타
2282,축제-기타,종로구,2021 창신마을축제,2021-10-01~2021-11-07,창신동 마을 일대 / 마로니에 공원 / 온라인,,지역주민 누구나,,,,,https://www.jfac.or.kr/site/main/program/perf_fest_list_view?pgIdx=1631,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fdd8a19fa25c4541a500aec2a510f31e&thumb=Y,2021-09-07,기관,2021-10-01 00:00:00.0,2021-11-07 00:00:00.0,
2283,문화교양/강좌,강북구,[근현대사기념관] 하반기 해설이 있는 기념관,2021-10-01~2021-10-31,온라인 ,mhmh.or.kr,일반 시민·학생,무료,일반시민 ,2021년 하반기 〈해설이 있는 근현대사기념관〉은 일반 시민과 학생을 대상으로 진행됩니다. 홈페이지를 통해 〈온라인으로 만나는 근현대사기념관〉 VR전시 관람 후 후기를 작성하면 기념품(에코백) 및 체험키트를 제공할 예정입니다. 많은 참여 바랍니다.,선착순 100명 기념품(에코백) 및 체험키트(초대길 만들기) 제공,http://mhmh.or.kr/news/notice?mod=document&pageid=1&uid=9504,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2b610a8f963a4959a0008ec517b9a7da&thumb=Y,2021-10-14,기관,2021-10-01 00:00:00.0,2021-10-31 00:00:00.0,문화가 있는 날
2284,문화교양/강좌,,[한국저작권위원회] 2021년 10월 ,2021-10-01~2021-10-31,전국(온라인),,전국민 누구나(연령제한 없음),"무료 (단, 평생교육원의 전문 과정은 유료)",,"한국저작권위원회에서 대한민국 국민 누구에게나 필요한 저작권 교육을 무료로 진행하고 있습니다. 연령, 직업, 관심 분야 등에 따라 맞춤형으로 들을 수 있는 다양한 교육이 준비되어 있사오니 많은 관심과 이용바랍니다. 올바른 저작권 인식으로 건강한 저작권 생태계 및 사회를 만들어 가는데 함께해주세요~",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=edc9c5d8011e4c09b3f6ec6ebea5d979&thumb=Y,2021-10-01,시민,2021-10-01 00:00:00.0,2021-10-31 00:00:00.0,기타
2285,전시/미술,구로구,[구로의책]소음 안 나는 아파트,2021-10-01~2021-10-31,하늘도서관 1층 어린이열람실,,전체,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a696630e2b7548c89d8c1f74e5a6a90b&thumb=Y,2021-09-13,기관,2021-10-01 00:00:00.0,2021-10-31 00:00:00.0,
