building_addr,purpose
서울특별시 강남구 개포동 12,교육연구시설
서울특별시 강남구 개포동 1209-18,교육연구시설
서울특별시 강남구 개포동 1242 샤트렌 빌딩,교육연구시설
서울특별시 강남구 개포동 1267,교육연구시설
서울특별시 강남구 개포동 1272 국악고등학교(국악고등학교),교육연구시설
서울특별시 강남구 개포동 1272 국악고등학교(제2교사동),교육연구시설
서울특별시 강남구 개포동 1273 서울포이초등학교(교육문화회관),교육연구시설
서울특별시 강남구 개포동 1273 서울포이초등학교(본관동),교육연구시설
서울특별시 강남구 개포동 13 대진초등학교(강당),교육연구시설
서울특별시 강남구 개포동 13 대진초등학교(대진초등학교),교육연구시설
서울특별시 강남구 개포동 13 대진초등학교(창고),교육연구시설
서울특별시 강남구 개포동 13 대진초등학교(창고),교육연구시설
서울특별시 강남구 개포동 152 경기여자고등학교(100주년기념관),교육연구시설
서울특별시 강남구 개포동 152 경기여자고등학교(강당동),교육연구시설
서울특별시 강남구 개포동 152 경기여자고등학교(교사동),교육연구시설
서울특별시 강남구 개포동 152 경기여자고등학교(생활관동),교육연구시설
서울특별시 강남구 개포동 152 경기여자고등학교(체육관동),교육연구시설
서울특별시 강남구 개포동 153 개포디지털혁신파크,교육연구시설
서울특별시 강남구 개포동 155 수도전기공업고등학교,교육연구시설
서울특별시 강남구 개포동 155 수도전기공업고등학교(기숙사),교육연구시설
서울특별시 강남구 개포동 155 수도전기공업고등학교(학생편의시설),교육연구시설
서울특별시 강남구 개포동 173 개포고등학교(교사동),교육연구시설
서울특별시 강남구 개포동 173 개포고등학교(식당),교육연구시설
서울특별시 강남구 개포동 173 개포고등학교(정보종합센터(E동)),교육연구시설
서울특별시 강남구 개포동 173 개포고등학교(체육관동),교육연구시설
서울특별시 강남구 개포동 174 (개일초등학교),교육연구시설
서울특별시 강남구 개포동 174 (수위실),교육연구시설
서울특별시 강남구 개포동 174 (창고),교육연구시설
서울특별시 강남구 개포동 174 (창고),교육연구시설
서울특별시 강남구 개포동 174 강당,교육연구시설
서울특별시 강남구 개포동 183 양전초등학교,교육연구시설
서울특별시 강남구 개포동 184 개원중학교(교사1동),교육연구시설
서울특별시 강남구 개포동 184 개원중학교(교사2동),교육연구시설
서울특별시 강남구 개포동 184 개원중학교(다목적강당),교육연구시설
서울특별시 강남구 개포동 184 개원중학교(부속건축물),교육연구시설
서울특별시 강남구 개포동 186-16,교육연구시설
서울특별시 강남구 개포동 186-17 개포종합상가,교육연구시설
서울특별시 강남구 개포동 650 (구룡중학교),교육연구시설
서울특별시 강남구 개포동 655 구룡초등학교(강당동),교육연구시설
서울특별시 강남구 개포동 655 구룡초등학교(학교시설(가동)),교육연구시설
서울특별시 강남구 개포동 660-10 (개원초등학교),교육연구시설
서울특별시 강남구 개포동 660-26,교육연구시설
서울특별시 강남구 개포동 660-37 (개포중학교),교육연구시설
서울특별시 강남구 논현동 110-18 언북어린이집,교육연구시설
서울특별시 강남구 논현동 113-6,교육연구시설
서울특별시 강남구 논현동 14-5,교육연구시설
서울특별시 강남구 논현동 16-30,교육연구시설
서울특별시 강남구 논현동 16-40,교육연구시설
서울특별시 강남구 논현동 168 (논현초등학교),교육연구시설
서울특별시 강남구 논현동 175-4 한세엠케이 주식회사,교육연구시설
서울특별시 강남구 논현동 264-7 (학동초등학교(가동)),교육연구시설
서울특별시 강남구 논현동 268-16 발레아카데미,교육연구시설
서울특별시 강남구 논현동 274-5,제2종근린생활시설
서울특별시 강남구 논현동 30-10 마노디앤디빌딩,교육연구시설
서울특별시 강남구 논현동 42-7,제2종근린생활시설
서울특별시 강남구 논현동 5-9,교육연구시설
서울특별시 강남구 논현동 56-14 (주)에땅빌딩,업무시설
서울특별시 강남구 논현동 69 (언북중학교 교사동),교육연구시설
서울특별시 강남구 논현동 70-7,교육연구시설
서울특별시 강남구 논현동 78-19 패스워드 빌딩,제2종근린생활시설
서울특별시 강남구 논현동 80-31,교육연구시설
서울특별시 강남구 논현동 83-21 KESSON빌딩(주건축물제1동),교육연구시설
서울특별시 강남구 논현동 83-29,교육연구시설
서울특별시 강남구 논현동 96-2,교육연구시설
서울특별시 강남구 논현동 98-12 청호불교문화원(마동),교육연구시설
서울특별시 강남구 대치동 1000-12 세아아인스,교육연구시설
서울특별시 강남구 대치동 1008-2,교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 교사동),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 교실동),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 본부석),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 수위실),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 실습공장),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국고교 체육관),교육연구시설
서울특별시 강남구 대치동 1013 단국고등학교(단국공고 실습실),교육연구시설
서울특별시 강남구 대치동 1015-4,교육연구시설
서울특별시 강남구 대치동 1019-11,교육연구시설
서울특별시 강남구 대치동 1021-1 우전타워(주건축물제1동),교육연구시설
서울특별시 강남구 대치동 1021-12 (주건축물제1동),교육연구시설
서울특별시 강남구 대치동 1021-2 대치동 1021-2 동서빌딩,교육연구시설
서울특별시 강남구 대치동 1021-3 덕산빌딩(덕산빌딩),교육연구시설
서울특별시 강남구 대치동 1021-5 알파마이티 대치빌딩,교육연구시설
서울특별시 강남구 대치동 1021-8 동선빌딩,교육연구시설
서울특별시 강남구 대치동 1022,교육연구시설
서울특별시 강남구 대치동 1022-4,교육연구시설
서울특별시 강남구 대치동 1023,교육연구시설
서울특별시 강남구 대치동 1023-5,교육연구시설
서울특별시 강남구 대치동 1023-6 에이플러스에셋 대치빌딩,제2종근린생활시설
서울특별시 강남구 대치동 1023-8,교육연구시설
서울특별시 강남구 대치동 1023-9 대덕빌딩,교육연구시설
서울특별시 강남구 대치동 1024-2 삼성빌딩,교육연구시설
서울특별시 강남구 대치동 1024-4 강원빌딩,교육연구시설
서울특별시 강남구 대치동 502 대청중학교(강당)(강당),교육연구시설
서울특별시 강남구 대치동 502 대청중학교(대청중학교),교육연구시설
서울특별시 강남구 대치동 505 대치초등학교,교육연구시설
